objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
46,467169.76967260725,258579.8292166369,467170.065006492,258581.02327645075,16,1,11/14/2021 14:49,N/W,N/W,True,258577.6353262648,467169.22704470967
47,467165.6168990905,258579.91484867732,467166.0601807704,258581.4721254884,14,1,11/14/2021 14:50,N/W,N/W,True,258577.77245385238,467165.00706250255
48,467159.0661710629,258580.6570339651,467159.52128120034,258582.25608411134,13,1,11/14/2021 14:51,N/W,N/W,True,258578.53024643142,467158.4608601106
49,467154.6483620116,258580.52319193032,467155.2856175992,258582.76390516042,20,0,11/14/2021 14:51,N/W,N/W,True,258578.28687316668,467154.01235620386
50,467147.7227843919,258581.0094792403,467147.93656271027,258583.27029809164,19,0,11/14/2021 14:52,N/W,N/W,True,258578.7109820342,467147.50544328685
51,467140.773256249,258582.32076184204,467140.8958846193,258583.61155175738,17,1,11/14/2021 14:53,N/W,N/W,True,258580.05471496336,467140.55797595246
52,467135.6638871069,258584.08261861192,467135.6448945229,258583.8660615997,14,1,11/14/2021 14:54,N/W,S/E,False,258581.86363616327,467135.4692768745
53,467123.74746612826,258584.70693624744,467123.78994063975,258584.89991811884,12,1,11/14/2021 15:01,N/W,N/W,True,258582.56324477488,467123.2756485041
54,467118.2669597359,258584.9502895523,467118.36546380253,258585.40625030524,12,1,11/14/2021 15:01,N/W,N/W,True,258582.8047857494,467117.8034530674
55,467113.8257233607,258585.0784146691,467114.0006615611,258585.8339310708,13,1,11/14/2021 15:02,N/W,N/W,True,258582.9241602353,467113.3269103727
56,467106.60172979627,258586.1969108265,467106.6870388644,258586.56242563136,14,1,11/14/2021 15:03,N/W,N/W,True,258584.02770879513,467106.0954504296
57,467100.9280479879,258586.35754923313,467101.10423506604,258587.11851807294,14,1,11/14/2021 15:04,N/W,N/W,True,258584.18745511028,467100.4256062022
